timestamp,machine_id,machine_type,temperature_c,vibration_mm_s,pressure_bar,current_a,rpm,runtime_hours,health_label,rul_hours
0,M001,Test Machine,69.80368577742715,3.8562230337969536,5.184955269446638,18.101485414815752,1234.625070185221,269.117386520023,Critical,29.530036853052593
1,M001,Test Machine,78.95650738117449,2.8471005092734165,4.197472221560869,14.244187152658625,1133.3423281149007,341.1449536818618,Critical,82.07626188097613
2,M001,Test Machine,69.39452012951091,2.055552838949849,3.2139798508739794,21.109596571107733,1106.41773191511,275.0746046443441,Warning,92.95869182954051
3,M001,Test Machine,56.172911451660454,5.337740864327109,4.174127106230921,22.73476503043537,1247.394404068655,315.63990954781747,Critical,71.93863634121381
4,M001,Test Machine,72.08515791237461,4.956674564042528,3.0818933222911964,24.13323966567382,1175.2101358428176,179.54487172682727,Critical,42.07977805573011
5,M001,Test Machine,93.58475065213825,4.481027305718241,3.8044819953643865,18.529834691348444,1045.9440016080005,128.96359491391408,Critical,45.6832662347497
6,M001,Test Machine,46.42367413653904,2.960793735561619,4.4624836469614575,15.2703443302482,1046.5663647071146,377.40139195124306,Warning,74.39290043288594
7,M001,Test Machine,67.4981699361725,2.652886117622356,3.5837610396895805,16.2986531362131,967.337731542414,42.16155486452827,Warning,69.45716698869575
8,M001,Test Machine,95.49208741796835,5.178749610387795,4.998062028609496,25.299711860040837,1063.6784434066196,173.54902227290648,Critical,19.752738260891434
9,M001,Test Machine,57.00137671578208,2.311679851429111,3.204228839636767,17.304679845188794,1112.5055435867994,412.67443512021686,Warning,96.9904866770511
10,M001,Test Machine,78.1892590356639,5.506333624566823,4.495341141678811,23.43569318589541,1080.4563769481729,245.43337145339527,Critical,10.098457516520057
11,M001,Test Machine,81.56601604409032,5.870795325063611,4.500365831457487,25.134079480810424,1041.0762593630423,472.0747347930827,Critical,21.191024199433485
12,M001,Test Machine,89.23852016025558,3.7570555392684284,3.7167668059094217,19.59141928273219,1108.3294355945643,169.29770802098548,Critical,58.039192454442855
13,M001,Test Machine,62.44990483955414,1.69271201649535,2.8235217303641558,21.202888402297674,998.6307177660497,313.6845641911103,Warning,82.72483837119708
14,M001,Test Machine,70.08215396986226,3.716149850011346,3.6990360355263983,21.719737549227027,1016.1564983888707,331.38868023687684,Critical,57.151118951546906
15,M001,Test Machine,69.5301180166665,4.401192090630647,3.873828432031384,19.741580094905906,1089.082491412601,224.97483741036066,Critical,60.06866152216741
16,M001,Test Machine,97.2358982124829,2.6328709520803164,2.925355160540931,22.532459330423546,1103.8725378036013,359.04729148807627,Critical,54.2053117664725
17,M001,Test Machine,101.594312694195,3.190606447445588,4.570835464166834,20.880589470593584,1161.6809513961323,160.19694757188523,Critical,33.73096687994294
18,M001,Test Machine,94.4088077061482,6.436776675736672,4.52741427243271,26.67576312434652,928.5281175501693,403.3932472989555,Critical,12.842790726882612
19,M001,Test Machine,70.64436812710383,2.9210213453949017,2.8134698223334462,13.006094421464063,1131.6886966316024,152.74083033650405,Warning,91.9787313909013
20,M001,Test Machine,73.60575176530868,3.569003879613812,3.0168898649667426,15.155033703701235,1205.3307565429416,297.9546260924207,Critical,94.45570297144184
21,M001,Test Machine,80.68420626779357,2.0954936148402608,3.1248253914657638,7.206387835426579,1268.6777369508395,266.68609648040433,Warning,96.50401306171489
22,M001,Test Machine,62.196062584268624,2.3521011986187688,3.7112883909795302,15.348298117363534,1121.5528833217056,62.62270930641745,Warning,70.5051942926836
23,M001,Test Machine,78.28226259102883,2.5826003939335793,2.889430457602403,15.77461210041563,1009.3313624210737,161.31983988696297,Warning,93.14212535556493
24,M001,Test Machine,55.84527874571941,4.125384724827006,2.442668286143087,13.955765088589006,1080.4538929524117,494.29945852875153,Critical,84.77161559555708
25,M001,Test Machine,67.82810368524095,2.8010773669558704,3.932186242642799,22.792603367518108,1150.79737480285,425.25502212344935,Critical,58.574715806012286
26,M001,Test Machine,82.78964469702002,3.5957484593778606,2.7074706144064056,17.198696331301683,1067.5624817021826,32.99085564191512,Critical,60.76633267442343
